id,category
1,boundary
2,inside
3,outside
4,boundary
5,inside
6,boundary
7,outside
8,outside
9,outside
10,outside
11,inside
12,boundary
13,inside
14,boundary
15,inside
16,boundary
17,outside
18,inside
19,outside
20,inside
21,outside
22,inside
23,outside
24,boundary
25,boundary
26,boundary
27,outside
28,outside
29,outside
30,inside
31,boundary
32,outside
33,outside
34,inside
35,boundary
36,outside
37,boundary
38,boundary
39,boundary
40,inside
41,inside
42,inside
43,outside
44,inside
45,boundary
46,boundary
47,boundary
48,boundary
49,boundary
50,inside
51,boundary
52,inside
53,inside
54,outside
55,outside
56,outside
57,outside
58,inside
59,inside
60,inside
61,boundary
62,boundary
63,boundary
64,boundary
65,inside
66,inside
67,outside
68,inside
69,boundary
70,inside
71,inside
72,outside
73,boundary
74,inside
75,outside
76,inside
77,boundary
78,boundary
79,boundary
80,outside
81,boundary
82,boundary
83,inside
84,inside
85,inside
86,outside
87,outside
88,boundary
89,boundary
90,outside
91,inside
92,boundary
93,inside
94,outside
95,outside
96,outside
97,outside
98,boundary
99,boundary
100,inside
